"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","External Voltage","RPM","InlineAcc","LateralAcc","VerticalAcc","RollRate dup 1","PitchRate","YawRate dup 1","ProcessedThrottl","RawThrottle1","RawThrottle2","RawBrake","FRDamperPot","RRBrakeTemp","RRDamperPot","FLSpeed","RLSpeed","PitotTube","FWStrainGageLeft","FLBrakeTemp","FLDamperPot","RLBrakeTemp","RLDamperPot","LvBatt1Voltage","LvBatt2Voltage","RC STATE","RC ERROR","ACM STATE","ACM ERROR","CockpitIndicator","FC STATE","FC ERROR","PEDAL ERROR","ModuleATemp","GateDriverTemp","ModuleBTemp","ModuleCTemp","ControlTemp","RTD1Temp","RTD2Temp","RTD3Temp","CoolantTemp","HotSpotTemp","MotorTemp","TorqueShudder","MotorAngle","MotorSpeed1","ElectricFreq","DeltaRes","PhaseA Current","PhaseB Current","PhaseC Current","DcBusCurrent","DcBusVoltageInfo","OutputVoltage","VabVdVoltage","VbcVqVoltage","FluxCommanded","FluxFeedback","IdFeedback","IqFeedback","TorqueCommanded","TorqueFeedback","MotorSpeed2","DcBusVoltage","DischargeLimitFault","HighestCellVoltTooHighFault","ChargerSafetyRelayFault","InternalHardwareFault","LowCellVoltageFault","InternalHeatsinkFault","InternalSoftwareFault","PackTooHotFault","LowestCellVoltTooLowFault","InternalCommsFault","CellBalancingStuckOffFault","WeakCellFault","OpenWiringFault","CurrentSensorFault","HighestCellVoltOver5vFault","CellAsicFault","WeakPackFault","FanMonitorFault","ThermistorFault","ExternalCommsFault","RedundantPowerSupplyFault","ChargeLimitFault","HighVoltageIsolationFault","InputPowerSupplyFault","YawRate dup 2","AccY","RollRate dup 2","RESERVED 01","AccX","RESERVED 02","AccZ","PackCurrent","PackVoltage","PackSOC","CurrentLimitStatus","PackDCL","PackCCL","HighCellVoltage","HighCellID","LowCellVoltage","LowCellID","AvgCellVoltage","MaxCellVoltage","PackCCL 01","MaxPackVoltage","PackCCL 02","MaxCellVoltag 01","PackCCL 03","RelativeThermID","ThermVal","ThermsEnabled","LoThermVal","HiThermVal","LoThermID","HiThermID"
"s","km/h"," ","g","g","deg","deg","deg/s","m","m","m/s","m","deg","deg","°C","V","rpm","g","g","g","deg/s","deg/s","deg/s","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"

"107.750","14.9516","15","-0.0009","-0.0436","0.0762","17.5676","-0.1190","124.6938","0.0071","0.1200","2000.4067","43.36406525","-71.46107172","22.7","12.0","0","0.11","0.03","-1.11","-0.0","0.0","-0.2","0","0","0","0","0","0","0","0","0","0","0","965","22","32","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","28","-0","142","-723","-120","-94","1","-1","2","0","511","42","-3","-42","0","29","1","-1","0","-1","-701","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-162","-4","-117","4","-3","0","-7","0","505","81","2","145","4","-3","-111","-3","65","-3","0","0","0","0","0","0","2058","39","8","20","25","28","10"
"107.800","14.7980","15","-0.0000","-0.0465","0.0621","17.5474","-0.0035","124.7038","0.0071","0.1200","10000.0000","43.36406696","-71.46107102","22.7","12.0","0","0.10","0.05","-1.09","-0.4","0.3","-0.3","0","0","0","0","0","0","0","0","0","0","0","1022","22","33","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","27","1","171","-713","-119","-94","0","0","2","-0","511","41","-2","-41","0","29","1","0","0","0","-715","512","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-3","5","-0","0","-7","0","505","81","2","145","4","-3","-111","-3","65","-3","0","0","0","0","0","0","2186","39","9","20","25","28","10"
"107.850","14.7578","15","0.0003","-0.0461","0.0915","17.8796","0.0435","124.7138","0.0071","0.1200","5401.3574","43.36406867","-71.46107031","22.7","12.0","0","0.11","0.07","-1.09","-0.2","0.1","-0.3","0","0","0","0","0","0","0","0","0","0","0","965","22","32","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","27","1","173","-704","-117","-94","-1","2","1","-0","511","40","-1","-40","0","29","2","1","0","0","-717","512","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-2","5","-0","0","-7","0","505","81","2","145","4","-3","-111","-3","65","-3","0","0","0","0","0","0","2314","39","9","20","25","28","10"
"107.900","14.7276","15","0.0006","-0.0453","0.1247","18.2424","0.0845","124.7237","0.0070","0.1200","2773.4897","43.36407038","-71.46106961","22.7","12.0","0","0.10","0.07","-1.10","0.1","-0.1","0.3","0","0","0","0","0","0","0","0","0","0","0","397","22","30","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","27","1","165","-694","-116","-94","-0","2","1","-0","510","40","-2","-40","0","29","2","0","0","1","-707","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-70","7","-0","0","-7","0","505","81","2","145","4","-3","-110","-3","65","-3","0","0","0","0","0","0","2442","39","10","20","25","28","10"
"107.950","14.7949","15","-0.0007","-0.0475","0.0373","17.6759","-0.1036","124.7210","0.0070","0.1246","2272.1580","43.36407209","-71.46106887","22.7","12.0","0","0.11","0.08","-1.09","-0.3","-0.1","0.9","0","0","0","0","0","0","0","0","0","0","0","170","22","30","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","27","1","165","-694","-116","-94","1","1","0","0","511","40","-2","-40","0","29","2","-0","0","0","-697","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-251","12","-0","0","-7","0","505","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","2570","39","10","20","25","28","10"
"108.000","14.8707","15","-0.0023","-0.0500","-0.0605","17.0285","-0.3117","124.7173","0.0070","0.1296","759.2884","43.36407379","-71.46106812","22.7","12.0","0","0.11","0.00","-1.10","-0.2","-0.1","1.1","0","0","0","0","0","0","0","0","0","0","0","739","22","30","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","27","1","169","-693","-116","-94","0","1","0","0","511","40","-2","-40","0","29","1","-1","0","-0","-688","512","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-222","9","-3","0","-7","0","505","81","2","145","4","-3","-110","-3","65","-3","0","0","0","0","0","0","2698","39","11","20","25","28","10"
"108.050","14.5080","15","-0.0029","-0.0520","-0.0049","17.3444","-0.3976","124.7262","0.0070","0.1300","580.7552","43.36407539","-71.46106745","22.7","12.0","0","0.11","-0.02","-1.12","-0.5","0.4","-0.1","0","0","0","0","0","0","0","0","0","0","0","1021","22","31","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","27","1","196","-688","-115","-94","0","1","-0","0","511","40","-2","-40","0","29","1","-1","0","-0","-688","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-164","-4","-40","2","-7","0","-7","0","505","81","2","145","4","-3","-111","-3","65","-3","0","0","0","0","0","0","2826","39","11","20","25","28","10"
"108.100","14.1073","15","-0.0034","-0.0540","0.0640","17.7441","-0.4729","124.7362","0.0070","0.1300","474.8322","43.36407697","-71.46106679","22.7","12.0","0","0.11","0.04","-1.09","-0.7","0.6","-0.4","0","0","0","0","0","0","0","0","0","0","0","1018","22","31","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","27","1","241","-685","-114","-94","-0","-0","-0","0","512","39","-1","-39","0","29","1","-0","0","-0","-687","510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-164","-4","-1","4","-5","0","-7","0","505","81","2","145","4","-3","-111","-3","65","-3","0","0","0","0","0","0","2954","39","12","20","25","28","10"
"108.150","14.2000","15","-0.0042","-0.0510","-0.0234","17.5516","-0.5914","124.7388","0.0070","0.1300","382.1388","43.36407868","-71.46106612","22.7","12.0","0","0.11","0.09","-1.08","-0.0","-0.1","0.6","0","0","0","0","0","0","0","0","0","0","0","633","22","29","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","27","1","315","-685","-114","-94","-0","-1","-0","0","511","39","-1","-39","0","29","0","0","0","0","-679","510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-1","9","-0","0","-7","0","505","81","2","145","4","-3","-111","-3","65","-3","0","0","0","0","0","0","3082","39","12","20","25","28","10"
"108.200","14.3356","15","-0.0051","-0.0476","-0.1244","17.3076","-0.7137","124.7407","0.0070","0.1300","319.6699","43.36408040","-71.46106545","22.7","12.0","0","0.11","0.04","-1.10","0.1","-0.5","1.1","0","0","0","0","0","0","0","0","0","0","0","68","22","30","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","27","1","288","-682","-114","-94","-0","-0","-0","0","510","39","-1","-39","0","29","-0","0","1","-1","-676","510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-1","6","-0","0","-7","0","505","81","2","145","4","-3","-111","-3","65","-3","0","0","0","0","0","0","3210","39","13","20","25","28","10"
"108.250","14.2235","15","-0.0055","-0.0474","-0.1167","17.5999","-0.7796","124.7405","0.0070","0.1300","290.3800","43.36408202","-71.46106475","22.7","12.0","0","0.12","-0.01","-1.11","-0.1","0.3","0.0","0","0","0","0","0","0","0","0","0","0","0","0","22","31","11","15","15","3","0","3","0","0","0","0","0","18","16","18","18","0","0","0","0","-1000","-1000","27","1","181","-676","-113","-94","-0","0","-0","0","510","39","-1","-39","0","29","-0","0","4","-3","-680","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-1","5","-1","0","-7","0","505","81","2","145","4","-3","-111","-3","65","-3","0","0","0","0","0","0","3348","39","13","20","25","28","10"
"108.300","14.0899","15","-0.0059","-0.0474","-0.0996","17.9387","-0.8405","124.7402","0.0070","0.1300","266.7969","43.36408363","-71.46106405","22.7","12.0","0","0.12","0.06","-1.08","-0.7","1.1","-0.9","0","0","0","0","0","0","0","0","0","0","0","0","22","31","11","15","15","3","0","3","0","0","0","0","0","18","17","18","18","0","0","0","0","-1000","-1000","27","1","225","-682","-114","-94","-0","0","-0","0","510","40","-2","-40","0","29","-1","-1","5","-4","-690","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-164","-4","-1","10","-5","0","-7","1","505","81","2","145","4","-3","-111","-3","65","-3","0","0","0","0","0","0","3604","39","14","20","25","28","10"
"108.350","13.9402","15","-0.0046","-0.0451","-0.0834","17.4446","-0.6541","124.7483","0.0070","0.1300","339.1743","43.36408523","-71.46106343","22.7","12.0","0","0.13","0.08","-1.07","-1.2","0.6","-0.3","0","0","0","0","0","0","0","0","0","0","0","2","22","31","11","15","15","3","0","3","0","0","0","0","0","18","17","18","18","0","0","0","0","-1000","-1000","28","1","316","-690","-115","-95","-2","5","-1","0","511","48","-4","-48","0","29","-3","-5","5","-5","-706","512","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-1","10","-8","0","-7","1","504","81","2","145","4","-3","-111","-3","65","-3","0","0","0","0","0","0","3850","39","15","20","25","28","10"
"108.400","13.7892","15","-0.0031","-0.0427","-0.0673","16.8780","-0.4462","124.7572","0.0070","0.1300","491.7958","43.36408682","-71.46106283","22.7","12.0","0","0.15","0.05","-1.10","-0.9","0.2","-0.2","0","0","0","0","0","0","0","0","0","0","0","3","22","28","11","15","15","3","0","3","0","0","0","0","0","18","17","18","18","0","0","0","0","-1000","-1000","28","0","318","-696","-116","-95","-3","9","-2","1","511","54","-5","-53","0","29","-4","-8","5","-5","-684","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-2","4","-8","0","-7","1","504","81","2","145","4","-3","-110","-3","65","-3","0","0","0","0","0","0","3978","39","16","20","25","28","10"
"108.450","13.8187","14","-0.0041","-0.0328","-0.1283","17.1886","-0.5895","124.7629","0.0070","0.1300","373.0762","43.36408845","-71.46106220","22.7","12.0","0","0.14","0.02","-1.12","-0.2","0.2","0.2","0","0","0","0","0","0","0","0","0","0","0","2","22","25","11","15","15","3","0","3","0","0","0","0","0","18","17","18","18","0","0","0","0","-1000","-1000","28","0","315","-701","-117","-96","-5","9","-2","1","511","54","-4","-54","0","29","-2","-9","5","-5","-648","510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-2","4","-8","0","-7","1","504","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","4106","39","16","20","25","28","10"
"108.500","13.8639","14","-0.0052","-0.0222","-0.1959","17.5754","-0.7633","124.7683","0.0070","0.1300","289.0729","43.36409007","-71.46106157","22.7","12.0","0","0.14","0.01","-1.12","-0.3","0.1","0.7","0","0","0","0","0","0","0","0","0","0","0","2","22","21","11","15","15","3","0","3","0","0","0","0","0","18","17","18","18","0","0","0","0","-1000","-1000","28","0","287","-680","-113","-95","-5","9","-3","1","511","54","-3","-54","0","29","-0","-9","5","-5","-656","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-2","9","-8","0","-7","1","504","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","4234","39","17","20","25","28","10"
"108.550","13.8493","14","-0.0073","-0.0178","-0.1391","17.2439","-1.0634","124.7737","0.0070","0.1300","207.2719","43.36409170","-71.46106095","22.7","12.0","0","0.14","0.05","-1.11","-0.2","0.5","0.3","0","0","0","0","0","0","0","0","0","0","0","3","22","20","11","15","15","3","0","3","0","0","0","0","0","18","17","18","18","0","0","0","0","-1000","-1000","28","0","257","-657","-110","-95","-1","6","-5","1","510","52","-2","-52","0","29","1","-7","5","-5","-665","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163","-4","-1","9","-8","0","-7","1","504","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","4362","39","17","20","25","28","10"
"108.600","13.8295","14","-0.0094","-0.0140","-0.0716","16.8501","-1.3745","124.7791","0.0070","0.1300","160.1296","43.36409332","-71.46106032","22.7","12.0","0","0.14","0.08","-1.10","-0.1","0.8","-0.2","0","0","0","0","0","0","0","0","0","0","0","4","22","24","11","15","15","3","0","3","0","0","0","0","0","18","17","18","18","0","0","0","0","-1000","-1000","28","0","195","-656","-109","-95","2","2","-4","1","510","52","-3","-52","0","29","1","-7","5","-5","-656","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-164","-4","-0","7","-8","0","-7","1","504","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","4490","39","18","20","25","28","10"
"108.650","13.7056","14","-0.0055","-0.0182","-0.0330","17.2059","-0.7984","124.7919","0.0070","0.1300","273.2264","43.36409489","-71.46105967","22.7","12.0","0","0.14","0.09","-1.09","-0.2","0.8","0.0","0","0","0","0","0","0","0","0","0","0","0","5","22","25","11","15","15","3","0","3","0","0","0","0","0","18","17","18","18","0","0","0","0","-1000","-1000","28","0","132","-656","-109","-95","4","-5","0","1","510","52","-3","-52","0","29","1","-7","4","-5","-650","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-164","-4","-178","3","-4","0","-7","1","505","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","4618","39","18","20","25","28","10"
"108.700","13.5727","14","-0.0010","-0.0232","0.0030","17.6269","-0.1450","124.8053","0.0070","0.1300","1489.5126","43.36409644","-71.46105903","22.7","12.0","0","0.14","0.03","-1.09","-0.6","0.5","0.9","0","0","0","0","0","0","0","0","0","0","0","5","22","23","11","15","15","3","0","3","0","0","0","0","0","18","17","18","18","0","0","0","0","-1000","-1000","28","0","96","-655","-109","-95","2","-5","4","1","511","52","-3","-52","0","29","0","-6","1","-4","-650","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","-4","-327","0","-1","0","-7","1","504","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","4746","39","19","20","25","28","10"
"108.750","13.7396","14","0.0038","-0.0251","-0.0278","17.0480","0.5570","124.8071","0.0070","0.1300","392.5779","43.36409810","-71.46105844","22.7","12.0","0","0.14","0.01","-1.12","-0.9","0.4","1.0","0","0","0","0","0","0","0","0","0","0","0","4","22","25","11","15","15","3","0","3","0","0","0","0","0","18","17","18","18","0","0","0","0","-1000","-1000","28","-0","76","-649","-108","-94","-1","-3","7","1","511","51","-2","-51","0","29","0","-4","0","-3","-634","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-327","0","-5","0","-7","1","504","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","4956","39","19","20","25","28","10"
"108.800","13.9326","14","0.0085","-0.0267","-0.0645","16.3822","1.2633","124.8079","0.0069","0.1300","175.5280","43.36409976","-71.46105785","22.7","12.0","0","0.12","0.04","-1.11","-0.9","0.9","0.4","0","0","0","0","0","0","0","0","0","0","0","3","22","28","11","15","15","3","0","3","0","0","0","0","0","18","17","18","18","0","0","0","0","-1000","-1000","27","-1","131","-618","-103","-93","-1","-1","3","0","511","41","0","-41","0","29","1","-1","0","0","-606","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","163","-4","-327","2","-7","0","-7","1","505","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","6108","38","24","20","25","28","10"
"108.850","13.6203","14","0.0082","-0.0319","-0.0652","17.0763","1.2169","124.8098","0.0069","0.1300","178.1344","43.36410130","-71.46105724","22.7","12.0","0","0.08","0.07","-1.08","-0.5","0.8","0.6","0","0","0","0","0","0","0","0","0","0","0","2","22","29","11","15","15","3","0","3","0","0","0","0","0","18","17","18","18","0","0","0","0","-1000","-1000","27","-2","180","-609","-101","-92","-0","1","-1","-0","511","35","2","-35","0","29","1","0","0","1","-631","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94","-4","-327","6","-2","0","-7","0","505","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","7178","38","28","20","25","28","10"
"108.900","13.2642","14","0.0075","-0.0374","-0.0627","17.8886","1.1051","124.8118","0.0069","0.1300","191.0311","43.36410283","-71.46105664","22.7","12.0","0","0.10","0.02","-1.12","-0.3","0.4","0.7","0","0","0","0","0","0","0","0","0","0","0","2","22","30","11","15","15","3","0","3","0","0","0","0","0","18","17","18","18","0","0","0","0","-1000","-1000","27","-2","218","-640","-107","-91","-0","0","1","-0","511","35","0","-35","0","29","0","0","0","2","-676","512","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-87","-4","-222","6","-3","0","-7","0","505","81","2","145","4","-3","-110","-3","65","-3","0","0","0","0","0","0","7306","39","29","20","25","28","10"
"108.950","13.2590","14","0.0044","-0.0408","-0.0626","17.9449","0.6554","124.8212","0.0069","0.1300","321.9669","43.36410436","-71.46105599","22.7","12.0","0","0.11","0.02","-1.12","0.2","0.8","0.4","0","0","0","0","0","0","0","0","0","0","0","2","22","28","11","15","15","3","0","3","0","0","0","0","0","18","17","18","18","0","0","0","0","-1000","-1000","27","-2","196","-656","-109","-91","0","0","1","-0","512","35","-0","-35","0","29","0","0","0","0","-643","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-58","-4","-41","2","-7","0","-7","-0","505","81","2","145","4","-3","-111","-3","65","-3","0","0","0","0","0","0","7434","39","29","20","25","28","10"
"109.000","13.2844","14","0.0012","-0.0440","-0.0627","17.9354","0.1764","124.8312","0.0069","0.1300","1198.7208","43.36410588","-71.46105535","22.7","12.0","0","0.11","0.05","-1.09","0.0","1.0","0.4","0","0","0","0","0","0","0","0","0","0","0","2","22","27","11","15","15","3","0","3","0","0","0","0","0","18","17","18","18","0","0","0","0","-1000","-1000","27","-2","65","-644","-107","-92","1","1","2","-0","512","35","-0","-35","0","29","0","0","1","-2","-617","510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","123","-4","-1","2","-5","0","-7","0","505","81","2","145","4","-3","-111","-3","65","-3","0","0","0","0","0","0","7562","39","30","20","25","28","10"
"109.050","13.2469","14","0.0007","-0.0377","0.0359","17.7036","0.1025","124.8370","0.0069","0.1300","2055.9619","43.36410744","-71.46105474","22.7","12.0","0","0.12","0.06","-1.09","-0.8","0.9","0.4","0","0","0","0","0","0","0","0","0","0","0","3","22","28","11","15","15","3","0","3","0","0","0","0","0","18","17","18","18","0","0","0","0","-1000","-1000","27","-2","8","-639","-106","-92","1","2","2","-0","512","36","-0","-36","0","29","-1","0","6","-7","-657","510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","163","-4","-1","3","-0","0","-7","0","505","81","2","145","4","-3","-111","-3","65","-3","0","0","0","0","0","0","7690","39","30","20","25","28","10"
"109.100","13.2039","14","0.0004","-0.0307","0.1431","17.4525","0.0639","124.8424","0.0069","0.1300","3286.1147","43.36410901","-71.46105413","22.7","12.0","0","0.18","0.03","-1.10","-0.9","1.1","-0.2","0","0","0","0","0","0","0","0","0","0","0","4","22","28","11","15","15","3","0","3","0","0","0","0","0","18","17","18","18","0","0","0","0","-1000","-1000","27","-2","8","-639","-106","-92","1","2","2","-0","512","37","-1","-37","0","29","-2","1","9","-10","-662","510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-179","1","-5","0","-7","1","505","81","2","145","4","-3","-110","-3","65","-3","0","0","0","0","0","0","7818","39","31","20","25","28","10"
"109.150","13.1556","14","0.0008","-0.0222","0.0517","16.8003","0.1294","124.8415","0.0069","0.1300","1618.3184","43.36411051","-71.46105352","22.7","12.0","0","0.18","0.04","-1.12","-1.0","1.2","-0.4","0","0","0","0","0","0","0","0","0","0","0","4","22","24","11","15","15","3","0","3","0","0","0","0","0","18","17","18","18","0","0","0","0","-1000","-1000","27","-2","66","-670","-112","-93","6","-3","0","1","511","48","-3","-48","0","29","-1","-7","9","-10","-597","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-295","1","-7","0","-7","2","505","81","2","145","4","-3","-109","-3","65","-3","0","0","0","0","0","0","7660","39","30","20","25","28","10"
